year,school_name,major_code,major_name,college,planned_enrollment,retest_count,admitted_count,retest_ratio,retest_max_score,retest_min_score,retest_avg_score,retest_politics_avg,retest_english_subject,retest_english_avg,retest_math_subject,retest_math_avg,retest_prof_subject,retest_prof_avg,admitted_max_score,admitted_min_score,admitted_avg_score,admitted_politics_avg,admitted_english_subject,admitted_english_avg,admitted_math_subject,admitted_math_avg,admitted_prof_subject,admitted_prof_avg
2026,哈尔滨工业大学,082500,航空宇航科学与技术,001 航天学院,7,1,1,1.0,,,,,201英语一/202俄语/203日语,,301数学一,,807航空宇航力学与控制基础,,,,,,201英语一/202俄语/203日语,,301数学一,,807航空宇航力学与控制基础,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,哈尔滨工业大学,085500,机械 12航空航天工程（含飞行器设计、人机与环境工程、航空宇航推进理论与工程、空天飞行器结构与防护四个学科方向）,001 航天学院,17,,,,,,,,201英语一或202俄语或203日语,,301数学一,,807航空宇航力学与控制基础(包括理论力学和自动控制原理，各占50%。),,,,,,201英语一或202俄语或203日语,,301数学一,,807航空宇航力学与控制基础(包括理论力学和自动控制原理，各占50%。),,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,哈尔滨工业大学,085500,机械 31航天工程（深圳校区）,001 航天学院,15,,,,,,,,201英语一,,301数学一,,807航空宇航力学与控制基础(包括理论力学和自动控制原理，各占50%。),,,,,,201英语一,,301数学一,,807航空宇航力学与控制基础(包括理论力学和自动控制原理，各占50%。),,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,哈尔滨工业大学,085500,机械 43航空航天工程（郑州基地）,001 航天学院,18,,,,,,,,201英语一或202俄语或203日语,,301数学一,,807航空宇航力学与控制基础(包括理论力学和自动控制原理，各占50%。),,,,,,201英语一或202俄语或203日语,,301数学一,,807航空宇航力学与控制基础(包括理论力学和自动控制原理，各占50%。),,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,哈尔滨工业大学,085500,机械 62航空航天工程（苏州基地）,001 航天学院,17,,,,,,,,201英语一或202俄语或203日语,,301数学一,,807航空宇航力学与控制基础(包括理论力学和自动控制原理，各占50%。),,,,,,201英语一或202俄语或203日语,,301数学一,,807航空宇航力学与控制基础(包括理论力学和自动控制原理，各占50%。),,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,哈尔滨工业大学,085406,控制工程,001 航天学院（深圳校企联培）,7,8,6,1.33,433.0,395.0,415.0,75.0,201英语一,75.0,301数学一,134.0,801控制原理,129.0,433.0,395.0,415.0,,201英语一,,301数学一,,801控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,哈尔滨工业大学,085400,电子信息 (70) 控制工程,143 未来工学院,8,2,2,1.0,393.0,389.0,391.0,73.0,201英语一/202俄语/203日语,72.0,301数学一,123.0,801控制原理,122.5,393.0,389.0,391.0,,201英语一/202俄语/203日语,,301数学一,,801控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,哈尔滨工业大学,089902,低空技术与工程 32控制科学与工程,903 哈尔滨工业大学（深圳）,4,5,4,1.25,423.0,363.0,386.0,72.0,201英语一,71.0,301数学一,119.0,801控制原理,123.0,423.0,380.0,392.0,,201英语一,,301数学一,,801控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,080400,仪器科学与技术,032 自动化与感知学院,4,6,4,1.5,390.0,356.0,367.17,66.17,201英语一,71.33,301数学一,106.67,817自动控制原理,123.0,390.0,356.0,369.5,,201英语一,,301数学一,,817自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,081100,控制科学与工程,032 自动化与感知学院,8,13,11,1.18,412.0,373.0,383.77,67.31,201英语一,76.77,301数学一,131.08,816自动控制理论,108.62,412.0,373.0,384.73,,201英语一,,301数学一,,816自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息01控制工程,032 自动化与感知学院,128,52,37,1.41,417.0,367.0,387.25,64.9,201英语一,76.5,301数学一,134.2,816自动控制理论,111.7,417.0,368.0,390.97,,201英语一,,301数学一,,816自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息02控制工程,032 自动化与感知学院(四川研究院）,128,4,4,1.0,396.0,369.0,384.75,63.5,201英语一,79.0,301数学一,133.75,816自动控制理论,108.5,396.0,369.0,384.75,,201英语一,,301数学一,,816自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息03控制工程,032 自动化与感知学院(中电科联培基地）,128,6,6,1.0,424.0,369.0,392.0,62.83,201英语一,75.17,301数学一,136.17,816自动控制理论,117.83,424.0,369.0,392.0,,201英语一,,301数学一,,816自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息04控制工程,032 自动化与感知学院(宁波研究院),128,17,17,1.0,421.0,369.0,386.94,63.6,201英语一,76.4,301数学一,132.4,816自动控制理论,114.6,421.0,369.0,386.94,,201英语一,,301数学一,,816自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息05控制工程,032 自动化与感知学院(海南专项),128,1,1,1.0,,,,,201英语一,,301数学一,,816自动控制理论,,,,,,201英语一,,301数学一,,816自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息06控制工程,032 自动化与感知学院(苏州智研院),128,5,5,1.0,395.0,371.0,379.8,64.8,201英语一,73.6,301数学一,128.6,816自动控制理论,112.8,395.0,371.0,379.8,,201英语一,,301数学一,,816自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息07控制工程,032 自动化与感知学院(卫星工程研究所),128,4,4,1.0,394.0,369.0,379.0,64.5,201英语一,69.5,301数学一,130.5,816自动控制理论,114.5,394.0,369.0,379.0,,201英语一,,301数学一,,816自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息08智能感知工程,032 自动化与感知学院(智能感知工程）,128,49,39,1.26,432.0,337.0,375.24,63.8,201英语一,71.6,301数学一,114.8,817自动控制理论,125.0,432.0,343.0,379.59,,201英语一,,301数学一,,817自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息11智能感知工程,032 自动化与感知学院(智能感知工程(中电科联培基地)),128,5,5,1.0,404.0,341.0,367.4,63.6,201英语一,66.0,301数学一,112.4,817自动控制理论,125.4,404.0,341.0,367.4,,201英语一,,301数学一,,817自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息13智能感知工程,032 自动化与感知学院(智能感知工程(苏州智研院)),128,1,0,,,,,,201英语一,,301数学一,,817自动控制理论,,,,,,201英语一,,301数学一,,817自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息15智能感知工程,032 自动化与感知学院(智能感知工程(贵州联培基地)),128,8,5,1.6,391.0,340.0,372.0,65.375,201英语一,66.25,301数学一,115.375,817自动控制理论,125.0,391.0,372.0,382.4,,201英语一,,301数学一,,817自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息16智能感知工程,032 自动化与感知学院(智能感知工程(卫星工程研究所),128,0,0,,,,,,201英语一,,301数学一,,817自动控制理论,,,,,,201英语一,,301数学一,,817自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息17智能感知工程,032 自动化与感知学院(智能感知工程(四川研究院),128,1,1,1.0,370.0,370.0,370.0,,201英语一,,301数学一,,817自动控制理论,,,,,,201英语一,,301数学一,,817自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息,082 生物医学工程学院,23,23,,,405.0,322.0,363.48,65.0,201英语一,75.4,301数学一,120.1,816自动控制理论,103.0,,,,,201英语一,,301数学一,,816自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,082500,航空宇航科学与技术,413 航空航天学院,42,1,1,1.0,,,,,201英语一,,301数学一,,861控制工程基础,,,,,,201英语一,,301数学一,,861控制工程基础,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085500,机械,413 航空航天学院,3,49,49,1.0,420.0,317.0,370.0,62.0,201英语一,70.0,301数学一,110.0,861控制工程基础,128.0,420.0,317.0,370.0,,201英语一,,301数学一,,861控制工程基础,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
