school_name,book_text
国防科技大学,《自动控制原》宫二玲 沈 辉 白圣建 机械工业出版社 2023
东北大学,839自动控制原理及过程控制
东北大学,1.王建辉、顾树生，自动控制原理（第2版），清华大学出版社，2014年4月。
东北大学,2.王福利，控制系统分析与设计——过程控制系统，清华大学出版社，2023年5月第2版。
大连理工大学,854 自动控制原理：
大连理工大学,《自动控制原理》，主编：韩敏，潘学军，席剑辉，人民邮电出版社，2015 年第一版。《自动控制原理习题集》，主编：韩敏，大连理工大学出版社，2017 年第一版。《自动控制原理》，主编：孟华，机械工业出版社。《现代控制理论》，主编：王金城，化学工业出版社。《自动控制原理》（第四版） ，主编：胡寿松，科学出版社。
湖南大学,《自动控制原理》，胡寿松，科学出版社，2007 年
湖南大学,《现代控制系统》，Richard C.Dor Robert H Bishop (谢红卫等译)，高等教育出版
电子科技大学,官方并未明确提供参考书，可以根据初试考试大纲自行购买教材。
天津大学,自动控制原理，科学出版社，胡寿松
天津大学,自动控制原理，科学出版社，夏超英
天津大学,现代控制理论，机械工业出版社，刘豹
天津大学,现代控制理论，科学出版社，夏超
南开大学,809控制综合基础：
南开大学,胡寿松.自动控制原理（第6版）科学出版社
南开大学,刘豹.现代控制理论（3版）机械工业出版社
南开大学,810自动控制理论：
南开大学,胡寿松.自动控制原理（第6版）科学出版社
同济大学,官方并未明确提供参考书，可以根据初试考试大纲自行购买教材。
武汉大学,官方并未明确提供参考书，可以根据初试考试大纲自行购买教材。
中山大学,889 自动控制原理
中山大学,主要包括自动控制基本概念；控制系统的数学模型；控制系统的时域分析法；
中山大学,控制系统的根轨迹法；控制系统的频率响应法；控制系统的校正；非线性控制系统；离散控制系统；
中山大学,自动控制系统的应用。参考教材选用《自动控制原理》，胡寿松主编。
东南大学,自动控制原理(经典部分)
东南大学,《自动控制原理》(第二版)，田玉平等，科学出版社
东南大学,经典部分：第1章，第2章，第4章(4.6节除外)，第5章，第6章
东南大学,复试科目及大纲
东南大学,自动控制原理(现代部分)
东南大学,《自动控制原理》(第二版)，田玉平等，科学出版社
东南大学,现代部分：第3章，第4章(4.6节)，第7章
东南大学,自动化学院：综合成绩＝初试总成绩（按满分150分折算）＊62.5%＋复试成绩（满分150分）＊37.5%
东南大学,苏州联合研究生院：综合成绩 = 初试总成绩（按满分150分折算）* 60% + 复试成绩（满分150分）* 40%
东南大学,四、近年复试线变化趋势图
东南大学,（081100）控制科学与工程
东南大学,（085400）电子信息
东南大学,（085400）电子信息02
厦门大学,《自动控制原理》(第六版)，胡寿松主编
厦门大学,《电子技术》，参考书目：《电工学下册之电子技术》（第七版），高等教育出版社，秦曾煌。
厦门大学,《机械原理》，参考书目：《机械原理》（第八版），高等教育出版社，孙桓，陈作模，葛文杰。
厦门大学,复试参考书
厦门大学,航空航天学院
厦门大学,复试形式：现场面试
厦门大学,能源学院
厦门大学,复试形式：现场面试
厦门大学,萨本栋微米纳米科学技术研究院
厦门大学,可从以下两个科目中任选一门：
厦门大学,（1）《电子技术》，参考书目：《电工学下册之电子技术》（第七版），高等教育出版社，秦曾煌。
厦门大学,（2）《机械原理》，参考书目：《机械原理》（第八版），高等教育出版社，孙桓，陈作模，葛文杰。
北京理工大学,《自动控制原理》，吴麒，清华大学出版社，2006
北京理工大学,《现代控制工程》，K. Ogata，卢伯英译，电子工业出版社，2011
北京理工大学,《自动控制原理》，胡寿松，科学出版社，2019
北京理工大学,《控制工程基础》
四川大学,高等教育出版社《自动控制原理》（第二版），上下册，作者黄家英。
西北工业大学,胡寿松.自动控制原理（第6版）科学出版社
西北工业大学,卢京潮.自动控制原理 清华大学出版社
重庆大学,844 自动控制原理
重庆大学,谢昭莉，李良筑，杨欣等.自动控制原理(上)[M].北京:机械工业出版社，2012;
重庆大学,"李斌，黄建明，王斌等,自动控制原理(下)[M].北京:机械工业出版社，2014。"
中国海洋大学,842自动控制原理：
中国海洋大学,胡寿松.自动控制原理（第6版）科学出版社
中国海洋大学,刘豹.现代控制理论（第3版）机械工业出版社
哈尔滨工程大学,808 自动控制原理
哈尔滨工程大学,《自动控制原理》，刘胜编著，哈尔滨工程大学出版社，2015年。
哈尔滨工程大学,《线性系统理论》，陆军等编著，科学出版社，2019年。
上海大学,《自动控制原理》（第6版）胡寿松 科学出版社 2013年
上海大学,《现代控制理论》贾立 邵定国 沈天飞编 上海大学出版社 2013年
大连海事大学,《自动控制原理》第7版 胡寿松 科学出版社 2019 年版
华东理工大学,《自动控制原理》，侍洪波，杨文，曹萃文编，化学工业出版社
华东理工大学,《自动控制原理》（第三版） 李友善 编著 国防工业出版社
华东理工大学,《自动控制原理》（第五版） 胡寿松 编著 科学出版社
华东理工大学,（任选一本作为参考书）
东华大学,《现代控制理论》刘豹，唐万生主编，机械工业出版社，第三版，2006； 《自动控制原理》(第五版)，胡寿松，科学出版社，2007； 《工程控制基础》，田作华，清华大学出版社，2007。
东华大学,复试内容
东华大学,C/C++与数据结构算法上机
河海大学,827自动控制理论基础
河海大学,《自动控制原理》（第 7 版），胡寿松主编，科学出版社，2019 年；
河海大学,《现代控制理论》（第 3 版），王宏华主编，电子工业出版社，2018 年。
东北林业大学,胡寿松.自动控制原理(第四版、第五版、第六版).科学出版社
东北林业大学,刘豹，唐万生.现代控制理论(第三版).机械工业出版社
内蒙古大学,胡寿松主编，自动控制原理（第八版），科学出版社，2023年8月。
北京工业大学,1.《自动控制原理》（第 4 版），于建均 孙亮 韩红桂，高等教育出版社，2022 年出版
北京工业大学,2.《自动控制原理学习指导与习题精解》（第 3 版），于建均 范青武 杨宏燕，北京工业大学出版社，2023 年出版
合肥工业大学,834 自动控制原理 参考书目
合肥工业大学,《自动控制理论》，王孝武、方敏、葛锁良，机械工业出版社，2009
合肥工业大学,《现代控制理论基础》（第 3 版），王孝武，机械工业出版社，2013
合肥工业大学,《自动控制原理》（第七版），胡寿松，科学出版社，2019
苏州大学,842自动控制原理：
苏州大学,《自动控制原理》（第六版）胡寿松编，科学出版社
北京邮电大学,胡寿松主编，《自动控制原理》（第七版），科学出版社，2019。
北京交通大学,1．苗宇，蒋大明。自动控制原理(第2版)，北京交通大学，清华大学出版社。
北京交通大学,2．胡寿松。自动控制原理(第五版)，科学出版社。
河北工业大学,[1]《自动控制原理》（第三版），主编：吴怀宇，华中科技大学出版社。
河北工业大学,[2]《现代控制理论》（第三版），主编：刘豹，唐万生，机械工业出版社。
河北工业大学,[3]《自动控制原理》（第六版），主编：胡寿松，国防工业出版社。
河北工业大学,[4]《现代控制理论》（第二版），主编，张嗣瀛，清华大学出版社。
河北工业大学,[5]《自动控制理论》（第四版），主编：夏德钤，瓮贻芳，机械工业出版社。
武汉理工大学,1. 自动控制原理(第六版) 胡寿松 主编 科学出版社
武汉理工大学,2．自动控制理论 王孝武 主编 机械工业出版社
南昌大学,873 自动控制理论
南昌大学,自动控制理论（第 4 版），夏德钤编，机械工业出版社，2011。
华北电力大学（北京）,《自动控制原理》（第六版），胡寿松，科学出版社
华北电力大学（北京）,《现代控制理论》（第三版），刘豹，机械工业出版社
华北电力大学（北京）,"《现代控制理论(英文版)》, 刘向杰, 张金芳，科学出版社, 2016."
中国石油大学（北京）,《自动控制原理》（第六版），胡寿松，科学出版社，2017
中国石油大学（北京）,复试科目
中国石油大学（北京）,无笔试
中国石油大学（北京）,复试内容
中国石油大学（北京）,采用现场面试，包括专业面试(100分)、外语面试(100分)
福州大学,812 自动控制原理
福州大学,[1]胡寿松，姜斌，张绍杰. 自动控制原理（第8版）. 科学出版社，2023；
福州大学,[2]刘豹、唐万生. 现代控制理论（第3版）. 机械工业出版社，2021。
南京理工大学,《自动控制原理》（第三版） 国防工业出版社 胡寿松
南京理工大学,《自动控制原理》（第四版） 科学出版社
中国石油大学（华东）,《自动控制原理》，胡寿松，科学出版社，2019.1，第七版。
中国石油大学（华东）,《现代控制理论》，刘豹，机械工业出版社，2011.5，第三版
中国石油大学（华东）,复试科目
中国石油大学（华东）,控制工程
中国石油大学（华东）,复试参考书
中国石油大学（华东）,《自动控制原理》(第六版)，胡寿松 主编，科学出版社，2013;
中国石油大学（华东）,《现代控制理论》(第三版)，刘豹、唐万生 主编，机械工业出版社，2015;
中国石油大学（华东）,《过程控制工程》第三版，戴连奎等主编，化学工业出版社，2012.
西安电子科技大学,千博 等《自动控制原理》（第三版）西电科大出版社
长安大学,（1）自动控制理论（第5版），夏德钤，翁贻方，北京：机械工业出版社，2023。
长安大学,（2）现代控制理论（第2版），闫茂德，高昂，胡延苏，北京：机械工业出版社，2023。
长安大学,（3）自动控制原理（第7版），胡寿松，北京：科学出版社，2019
郑州大学,832自动控制理论 参考书目
郑州大学,《自动控制理论》(2023年3月第五版)，夏德铃翁贻方编著，机械工业出版社
郑州大学,《现代控制理论》(2011年5月第三版)，刘豹唐万生主编，机械工业出版社
中国矿业大学（徐州）,《自动控制原理》，王雪松、常俊林、杨春雨编著，机械工业出版社，2021年
北京化工大学,841自动控制原理：
北京化工大学,《自动控制原理》，厉玉鸣等主编，化学工业出版社，2009 年
北京化工大学,《自动控制原理》，孙优贤，王慧主编，化学工业出版社，2011 年
北京化工大学,《自动控制原理》，胡寿松主编，科学出版社，2007 年
北京林业大学,自动控制原理第七版．胡寿松主编，科学出版社
太原理工大学,《自动控制原理》第4版，李国勇主编，电子工业出版社；《自动控制原理习题解答及仿真实验》李国勇主编；《现代控制理论》谢克明主编，清华大学出版社；《现代控制理论习题集》李国勇主编，清华大学出版社。
南京航空航天大学,控制科学与工程
南京航空航天大学,820自动控制原理：
南京航空航天大学,自动控制原理（第2版），陈复扬主编，高等教育出版社，2025.9
南京航空航天大学,"《自动控制原理习题详解与考研辅导》，陈复扬主编，国防工业出版社, 2014.01"
南京航空航天大学,兵器科学与技术
南京航空航天大学,控制工程
南京航空航天大学,航天仿生科学与技术
南京林业大学,834自动控制原理：
南京林业大学,胡寿松.自动控制原理（第6版）科学出版社
海南大学,899 自动控制原理
海南大学,《自动控制原理》，胡寿松，科学出版社
新疆大学,《自动控制理论》，邹伯敏，机械工业出版社，2019年第4版；《自动控制原理》，胡寿松，科学出版社，2017年第4版 ；《现代控制理论》，刘豹、唐万生，机械工业出版社，2011年第3版。
中国科学院大学,857 自动控制理论
中国科学院大学,"《自动控制原理（第七版）》，胡寿松主编,科学出版社"
中国科学院沈阳自动化研究所,《自动控制原理》(第七版)，胡寿松，科学出版社，2019
中国科学院沈阳自动化研究所,复试科目
中国科学院沈阳自动化研究所,《程序设计与数据结构》、《微机原理》或《电子技术》
中国科学院沈阳自动化研究所,复试参考书
中国科学院沈阳自动化研究所,——
广州大学,自动控制原理： 《 自动控制原理基础教程(第四版)》 ， 胡寿 松， 科学出版社， 2017
天津工业大学,胡寿松主编，《自动控制原理》（第七版），科学出版社，2019。
中国民航大学,801 自动控制原理参考书目
中国民航大学,胡寿松 主编，《自动控制原理》，科学出版社，2002 年第四版
天津科技大学,1.《自动控制原理》 刘振全等 西安电子科技大学出版社 2021 年第 2 次印刷
天津科技大学,2.《自动控制原理》胡寿松，科学出版社，2024 年 1 月，第八版
深圳大学,初试科目只提供考试大纲
广东工业大学,1.胡寿松，自动控制原理(第六版)，科学出版社，2013
杭州电子科技大学,《自动控制原理》(第四版)，薛安克、彭冬亮、陈雪亭编著，西安电子科技大学出版社 ，2022-02
浙江工业大学,《自动控制原理》《第3版)王万良编著 高等教育出版社 2020
浙江工业大学,《现代控制理论》(第1版)前立编著 清华大学出版社 2007
燕山大学,805自动控制原理B：
燕山大学,夏德钤《自动控制原理》（第四版）机械工业出版社
燕山大学,806自动控制原理B，直流调速
燕山大学,（自动控制原理占60%，直流调速占40%）：
燕山大学,夏德钤《自动控制原理》（第四版）机械工业出版社
燕山大学,阮毅，杨影，陈伯时《电力拖动自动控制系统-运动控制系统》（第五版）（第1章~第4章）机械工业出版社
燕山大学,830自动控制原理A、直流拖动控制系统
燕山大学,（自动控制原理占50%，现代控制理论占30%，直流拖动控制系统占20%）
燕山大学,夏德钤《自动控制原理》（第四版）机械工业出版社
燕山大学,刘豹《现代控制理论》（第三版）机械工业出版社
燕山大学,阮毅，杨影，陈伯时《电力拖动自动控制系统-运动控制系统》（第五版）（第1章~第5章）机械工业出版社
燕山大学,832自动控制原理A、模式识别
燕山大学,（自动控制原理占50%，现代控制理论占20%，模式识别占30%）
燕山大学,夏德钤《自动控制原理》（第四版）机械工业出版社
燕山大学,刘豹《现代控制理论》（第三版）机械工业出版社
燕山大学,张学工《模式识别》（第四版）（第1、2、3、5、6、11章）清华大学出版社
河北大学,887自动控制原理：
河北大学,自动控制原理》[第六版]，科学出版社，胡寿松。
河北科技大学,809控制综合基础：
河北科技大学,胡寿松.自动控制原理（第7版）科学出版社
中北大学,《自动控制原理》 科学出版社 胡寿松
西安理工大学,822自动控制理论
西安理工大学,《自动控制理论》 机械工业出版社 主编
西安理工大学,《现代控制系统》 科学出版社[美]R.C.多尔夫 R.H.毕晓普著
西安理工大学,《现代控制理论基础》 机械工业出版社 王孝武
空军工程大学,803控制工程基础
空军工程大学,"1．董景新.《控制工程基础（第5版）》.清华大学出版社,2022.12."
空军工程大学,806航空控制工程
空军工程大学,"1. 胡寿松.《自动控制原理（第8版）》（第1-5章）.科学出版社,2023.08."
空军工程大学,835导弹制导与控制原理
空军工程大学,"1．雷虎民. 《导弹制导与控制原理（第2版）》. 国防工业出版社, 2024.01。。"
空军工程大学,881自动控制原理
空军工程大学,1．胡寿松、姜斌、张绍杰，《自动控制原理》第八版（1～6章），科学出版社，2023.8。
西安邮电大学,828 自动控制原理
西安邮电大学,《自动控制原理基础教程》（第四版），胡寿松主编，科学出版社，2017.1。
西安邮电大学,复试科目及大纲
西安邮电大学,复试科目：单片机原理。 该专业不接收同等学力考生报名。
西安科技大学,818 自动控制原理
西安科技大学,《自动控制原理》，周奇勋，中国矿业大学出版社，2022
西安科技大学,复试科目及大纲
西安科技大学,笔试：模拟电子技术基础、数字电子技术基础、专业英语翻译与写作参考书目： ①《模拟电子技术基础》，高等教育出版社，2015，童诗白 ②《数字电子技术基础》，高等教育出版社，2016，阎石
西安科技大学,面试：专业基础知识与英语口语、听力
西安建筑科技大学,836自动控制原理：
西安建筑科技大学,《自动控制原理》（第七版），胡寿松主编，科学出版社
西安建筑科技大学,874自动控制原理：
西安建筑科技大学,《自动控制原理》（第三版），王划一，国防工业出版社，2021 年
西安工程大学,813 自动控制原理
西安工程大学,《自动控制原理》第六版，胡寿松主编，科学出版社；
西安工程大学,复试科目及大纲
西安工程大学,938微型计算机控制技术
西安工程大学,潘新民微型计算机控制技术（第二版）电子工业出版社2011年
青岛大学,825 自动控制原理
青岛大学,胡寿松，《自动控制原理》第七版，科学出版社
青岛科技大学,自动控制原理．胡寿松主编，科学出版社
重庆邮电大学,《 20自 13动年控， 制IS原BN理：》9(7第87六03版03)7，05胡63寿。松主编， 科学出版社
桂林电子科技大学,808自动控制原理
桂林电子科技大学,《自动控制原理》(第八版)，胡寿松，科学出版社，2023
桂林电子科技大学,817电子技术综合
桂林电子科技大学,1.《模拟电子技术》（第六版），康光华等，高等教育出版社，2023
桂林电子科技大学,2.《数字电子技术基础（第六版）》，阎石，高等教育出版社，2016
广西科技大学,803 自动控制原理
广西科技大学,胡寿松.自动控制原理（第七版）.科学出版社.
广西科技大学,程鹏.自动控制原理.高等教育出版社
广西科技大学,复试科目及大纲
广西科技大学,903单片机原理
广西科技大学,张毅刚.单片机原理及应用.高等教育出版社，2004
山西大学,《自动控制原理》胡寿松主编，科学出版社（第六版），ISBN： 9787030370563，出版时间：2013.3
太原科技大学,825 自动控制理论
太原科技大学,《自动控制原理》（第七版） 胡寿松 科学出版社
太原科技大学,《自动控制理论》 王健安等 国家开放大学出版社
太原科技大学,《现代控制理论基础》（第三版） 王孝武 机械工业出版社
兰州理工大学,《自动控制原理》，胡寿松，科学出版社，第七版
湖北工业大学,811 自动控制理论
湖北工业大学,《自动控制原理（第八版）》，胡寿松主编，科学出版社，2023 年 11月。
湖北工业大学,《现代控制理论（第三版）》，刘豹/唐万生主编，机械工业出版社，2011年 5 月。
湖北工业大学,803 控制工程基础
湖北工业大学,"《控制工程基础》 翟中生,王选择编，中国水利水电出版社，2022 年。"
北京建筑大学,832自动控制原理：
北京建筑大学,1.邹伯敏.自动控制理论[M].第四版.北京：机械工业出版社，2019.
北京建筑大学,2.胡寿松.自动控制原理[M].第七版.北京：科学出版社，2019
北方工业大学,"自动控制原理: 《自动控制原理》(第六版),胡 寿松,科学出版社,2013年。"
内蒙古工业大学,胡寿松主编．自动控制原理（第七版）．北京：科学出版社，2019
湘潭大学,官网显示：无
浙江理工大学,《自动控制理论》，夏德钤，翁贻方编著，机械工业出版社（第四版），ISBN： 9787111723202，出版时间：2023.5
浙江理工大学,《现代控制理论》，俞立编著，清华大学出版社，ISBN： 9787302146575，出版时间：2007.4
上海理工大学,867自动控制原理：
上海理工大学,胡寿松.自动控制原理（第5版）科学出版社
上海理工大学,复试笔试科目
上海理工大学,单片机原理及接口技术
上海理工大学,复试参考书
上海理工大学,李朝青.单片机原理及接口技术（第5版）北京航空航天大学出版社
上海理工大学,录取总成绩=（初试成绩÷5）×55%+复试成绩×45%。
上海理工大学,B站—获取干货资料视频讲解                            抖音—全年直播择校就业信息
上海理工大学,近年复试线变化趋势图
上海理工大学,081100控制科学与工程 （学术学位）
上海理工大学,085406控制工程（专业学位）
陕西科技大学,《自动控制原理》（第七版）胡寿松，科学出版社
陕西科技大学,由考纲可知，陕西科技大学807自动控制原理主要包含经典控制理论（1-8）。
西安工业大学,810 自动控制原理
西安工业大学,《自动控制理论》（第四版），夏德钤，机械工业出版社
武汉科技大学,814《自动控制原理》（第三版），吴怀宇主编，华中科技大学出版社，2017年。
北京信息科技大学,803自动控制原理
北京信息科技大学,"《自动控制原理》(第7版),胡寿松主编,科学出版社"
