id,title,school,school_short,code,total,subject_score,author,year,level,category,undergrad
post-213,大连理工大学 总分406,大连理工大学,大连理工,,406,136,,26考研,985,自动控制原理,跨考
post-214,中国矿业大学 总分410,中国矿业大学,矿大,,410,129,,26考研,211,自动控制原理,双非
post-215,杭州电子科技大学 总分359,杭州电子科技大学,杭电,,359,,上岸同学,26考研,双非,自动控制原理,
post-216,杭州电子科技大学 总分359,杭州电子科技大学,杭电,,359,112,,26考研,双非,自动控制原理,
post-217,武汉理工大学 总分432,武汉理工大学,武理,,432,147,,26考研,211,自动控制原理,双非
post-218,江南大学 总分398,江南大学,江南,807,398,139,曙天学长,26考研,211,电路,双非
post-219,河北工业大学 总分378,河北工业大学,河工大,,378,128,,26考研,211,自动控制原理,双非
post-220,中国矿业大学 总分410,中国矿业大学,矿大,,410,125,,26考研,211,自动控制原理,双非
post-221,中国矿业大学 总分362,中国矿业大学,矿大,,362,138,,26考研,211,自动控制原理,双非
post-222,上海交通大学上岸经验,上海交通大学,上交,,,,祁水学长,26考研,985,自动控制原理,跨考
post-223,福州大学 总分406,福州大学,福大,,406,106,,26考研,211,控制工程基础,双非
post-224,南京航空航天大学 总分376,南京航空航天大学,南航,,376,143,,26考研,211,自动控制原理,双非
post-225,苏州大学 专业课125,苏州大学,苏大,842,,125,,26考研,211,自动控制原理,双非
post-226,哈尔滨工业大学 总分405,哈尔滨工业大学,哈工大,,405,132,黑白学长,26考研,985,控制原理,在职
post-227,南京邮电大学 总分405,南京邮电大学,南邮,812,405,119,Asen,26考研,双非,自动控制原理,跨考
post-228,南京邮电大学 总分396,南京邮电大学,南邮,812,396,118,努力努力再努力,26考研,双非,自动控制原理,二本
post-229,南京邮电大学 总分413,南京邮电大学,南邮,812,413,140,清风与我,26考研,双非,自动控制原理,跨考
post-230,南京邮电大学 总分404,南京邮电大学,南邮,,404,,蓝星咏叹调,26考研,双非,自动控制原理,双非
